trial,ucs_nodes,ucs_frontier,ucs_time,ucs_path_len,astar_nodes,astar_frontier,astar_time,astar_path_len
0,38,7,0.00010249996557831764,10,16,8,5.050003528594971e-05,10
1,57,7,0.00012159999459981918,15,30,7,7.079984061419964e-05,15
2,45,7,9.50999092310667e-05,12,23,13,5.5499840527772903e-05,12
3,56,10,0.00014759995974600315,15,28,8,7.189996540546417e-05,15
4,51,8,0.00014060013927519321,13,24,8,5.550007335841656e-05,13
5,39,5,7.960014045238495e-05,12,24,6,5.389982834458351e-05,12
6,41,7,9.320001117885113e-05,10,19,9,4.4599873945117e-05,10
7,35,8,7.509998977184296e-05,7,12,9,3.1400006264448166e-05,7
8,76,10,0.00015629967674613,20,43,14,0.00010280008427798748,20
9,70,7,0.0001431000418961048,16,30,11,7.350021041929722e-05,16
